Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C16, C2, C3",0402,5,1u,C52923
"C10, C11, C12, C13, C17, C19, C23, C4, C5, C6, C7",0402,11,100n,C307331
"C14, C20",0402,2,10n,C15195
"C18, C8",CP_EIA-3216-18_Kemet-A,2,10u,C7171
"C21, C22",0402,2,10p,C32949
C24,0402,1,220n,C16772
"C25, C26",CP_EIA-3528-21_Kemet-B,2,100u,C16133
C9,0402,1,10u,C15525
D1,0603,1,LED,C2286
D2,D_SMB,1,P6SMB6.8CA,C78395
"FB1, FB2",0805,2,100R,C1015
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Socket_USB2.0,C2988369
"R1, R2, R3, R7",0402,4,10k,C25744
"R10, R11, R12, R9",0402,4,1k5,C25867
"R4, R8",0402,2,0,C17168
"R5, R6",0402,2,5k1,C25905 
SW1,SW_Push_1P1T_XKB_TS-1187A_RESET,1,SW_RESET,C318884
SW2,SW_Push_1P1T_XKB_TS-1187A_BOOT,1,SW_BOOT,C318884
SW3,SW_Push_1P1T_XKB_TS-1187A_CALIBRATE,1,SW_CALIBRATE,C318884
U1,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3TR-C,C967633
U2,SOT-666,1,USBLC6-2P6,C2827693
U3,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,C8734
U4,LGA-12_2x2mm_P0.5mm,1,LIS2MDL,C919695
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz, C13738 
