Designator,Mid X,Mid Y,Rotation,Layer
C1,146.425,-94.85,90.0,top
C10,131.175,-86.275,90.0,top
C11,134.62,-83.575,0.0,top
C12,143.075,-87.055,270.0,top
C13,140.08,-95.425,180.0,top
C14,131.1,-91.25,270.0,top
C15,132.725,-96.975,0.0,top
C16,131.375,-93.75,0.0,top
C17,129.425,-91.2,0.0,top
C18,153.875,-82.25,0.0,top
C19,150.575,-82.33,90.0,top
C2,145.3,-94.85,90.0,top
C20,149.25,-82.32,90.0,top
C21,127.2,-88.08,90.0,top
C22,127.2,-90.47,270.0,top
C23,136.02,-95.3,0.0,top
C24,151.43,-99.6325,90.0,top
C25,143.375,-82.8,180.0,top
C26,137.3625,-80.375,180.0,top
C3,144.15,-94.85,90.0,top
C4,150.0,-97.72,0.0,top
C5,148.075,-97.72,180.0,top
C6,145.825,-97.145,180.0,top
C7,147.5125,-99.5525,90.0,top
C8,150.0,-96.12,0.0,top
C9,132.6,-84.48,270.0,top
D1,155.075,-98.725,270.0,top
D2,152.15,-78.775,0.0,top
FB1,130.6125,-95.275,180.0,top
FB2,147.325,-82.775,90.0,top
J2,153.445,-89.0,90.0,top
R1,129.425,-92.325,0.0,top
R10,148.8,-102.67,0.0,top
R11,148.8,-101.545,0.0,top
R12,155.075,-95.975,90.0,top
R2,137.665,-96.6,180.0,top
R3,139.685,-96.6,0.0,top
R4,144.5625,-102.43,270.0,top
R5,147.325,-91.235,90.0,top
R6,147.325,-85.825,270.0,top
R7,132.14,-82.775,0.0,top
R8,128.86,-89.275,0.0,top
R9,144.625,-87.6,90.0,top
SW1,125.95,-96.9,90.0,top
SW2,125.95,-82.4,90.0,top
SW3,137.8,-101.85,180.0,top
U1,145.3175,-99.57,90.0,top
U2,146.6825,-88.525,180.0,top
U3,137.1375,-89.525,0.0,top
U4,149.4875,-99.57,90.0,top
U5,143.85,-76.3,90.0,top
Y1,124.75,-89.275,270.0,top
